Date,spx
09/10/2019,2919.4
08/10/2019,2893.06
07/10/2019,2938.79
04/10/2019,2952.01
03/10/2019,2910.63
02/10/2019,2887.61
01/10/2019,2940.25
30/09/2019,2976.74
27/09/2019,2961.79
26/09/2019,2977.62
25/09/2019,2984.87
24/09/2019,2966.6
23/09/2019,2991.78
20/09/2019,2992.07
19/09/2019,3006.79
18/09/2019,3006.73
17/09/2019,3005.7
16/09/2019,2997.96
13/09/2019,3007.39
12/09/2019,3009.57
11/09/2019,3000.93
10/09/2019,2979.39
09/09/2019,2978.43
06/09/2019,2978.71
05/09/2019,2976
04/09/2019,2937.78
03/09/2019,2906.27
30/08/2019,2926.46
29/08/2019,2924.58
28/08/2019,2887.94
27/08/2019,2869.16
26/08/2019,2878.38
23/08/2019,2847.11
22/08/2019,2922.95
21/08/2019,2924.43
20/08/2019,2900.51
19/08/2019,2923.65
16/08/2019,2888.68
15/08/2019,2847.6
14/08/2019,2840.6
13/08/2019,2926.32
12/08/2019,2883.75
09/08/2019,2918.65
08/08/2019,2938.09
07/08/2019,2883.98
06/08/2019,2881.77
05/08/2019,2844.74
02/08/2019,2932.05
01/08/2019,2953.56
31/07/2019,2980.38
30/07/2019,3013.18
29/07/2019,3020.97
26/07/2019,3025.86
25/07/2019,3003.67
24/07/2019,3019.56
23/07/2019,3005.47
22/07/2019,2985.03
19/07/2019,2976.61
18/07/2019,2995.11
17/07/2019,2984.42
16/07/2019,3004.04
15/07/2019,3014.3
12/07/2019,3013.77
11/07/2019,2999.91
10/07/2019,2993.07
09/07/2019,2979.63
08/07/2019,2975.95
05/07/2019,2990.41
03/07/2019,2995.82
02/07/2019,2973.01
01/07/2019,2964.33
28/06/2019,2941.76
27/06/2019,2924.92
26/06/2019,2913.78
25/06/2019,2917.38
24/06/2019,2945.35
21/06/2019,2950.46
20/06/2019,2954.18
19/06/2019,2926.46
18/06/2019,2917.75
17/06/2019,2889.67
14/06/2019,2886.98
13/06/2019,2891.64
12/06/2019,2879.84
11/06/2019,2885.72
10/06/2019,2886.73
07/06/2019,2873.34
06/06/2019,2843.49
05/06/2019,2826.15
04/06/2019,2803.27
03/06/2019,2744.45
31/05/2019,2752.06
30/05/2019,2788.86
29/05/2019,2783.02
28/05/2019,2802.39
24/05/2019,2826.06
23/05/2019,2822.24
22/05/2019,2856.27
21/05/2019,2864.36
20/05/2019,2840.23
17/05/2019,2859.53
16/05/2019,2876.32
15/05/2019,2850.96
14/05/2019,2834.41
13/05/2019,2811.87
10/05/2019,2881.4
09/05/2019,2870.72
08/05/2019,2879.42
07/05/2019,2884.05
06/05/2019,2932.47
03/05/2019,2945.64
02/05/2019,2917.52
01/05/2019,2923.73
30/04/2019,2945.83
29/04/2019,2943.03
26/04/2019,2939.88
25/04/2019,2926.17
24/04/2019,2927.25
23/04/2019,2933.68
22/04/2019,2907.97
18/04/2019,2905.03
17/04/2019,2900.45
16/04/2019,2907.06
15/04/2019,2905.58
12/04/2019,2907.41
11/04/2019,2888.32
10/04/2019,2888.21
09/04/2019,2878.2
08/04/2019,2895.77
05/04/2019,2892.74
04/04/2019,2879.39
03/04/2019,2873.4
02/04/2019,2867.24
01/04/2019,2867.19
29/03/2019,2834.4
28/03/2019,2815.44
27/03/2019,2805.37
26/03/2019,2818.46
25/03/2019,2798.36
22/03/2019,2800.71
21/03/2019,2854.88
20/03/2019,2824.23
19/03/2019,2832.57
18/03/2019,2832.94
15/03/2019,2822.48
14/03/2019,2808.48
13/03/2019,2810.92
12/03/2019,2791.52
11/03/2019,2783.3
08/03/2019,2743.07
07/03/2019,2748.93
06/03/2019,2771.45
05/03/2019,2789.65
04/03/2019,2792.81
01/03/2019,2803.69
28/02/2019,2784.49
27/02/2019,2792.38
26/02/2019,2793.9
25/02/2019,2796.11
22/02/2019,2792.67
21/02/2019,2774.88
20/02/2019,2784.7
19/02/2019,2779.76
15/02/2019,2775.6
14/02/2019,2745.73
13/02/2019,2753.03
12/02/2019,2744.73
11/02/2019,2709.8
08/02/2019,2707.88
07/02/2019,2706.05
06/02/2019,2731.61
05/02/2019,2737.7
04/02/2019,2724.87
01/02/2019,2706.53
31/01/2019,2704.1
30/01/2019,2681.05
29/01/2019,2640
28/01/2019,2643.85
25/01/2019,2664.76
24/01/2019,2642.33
23/01/2019,2638.7
22/01/2019,2632.9
18/01/2019,2670.71
17/01/2019,2635.96
16/01/2019,2616.1
15/01/2019,2610.3
14/01/2019,2582.61
11/01/2019,2596.26
10/01/2019,2596.64
09/01/2019,2584.96
08/01/2019,2574.41
07/01/2019,2549.69
04/01/2019,2531.94
03/01/2019,2447.89
02/01/2019,2510.03
31/12/2018,2506.85
28/12/2018,2485.74
27/12/2018,2488.83
