Date,ftse
16/11/2020,6421.29
13/11/2020,6316.39
12/11/2020,6338.94
11/11/2020,6382.1
10/11/2020,6296.85
9/11/2020,6186.29
6/11/2020,5910.02
5/11/2020,5906.18
4/11/2020,5883.26
3/11/2020,5786.77
2/11/2020,5654.97
30/10/2020,5577.27
29/10/2020,5581.75
28/10/2020,5582.8
27/10/2020,5728.99
26/10/2020,5792.01
23/10/2020,5860.28
22/10/2020,5785.65
21/10/2020,5776.5
20/10/2020,5889.22
19/10/2020,5884.65
16/10/2020,5919.58
15/10/2020,5832.52
14/10/2020,5935.06
13/10/2020,5969.71
12/10/2020,6001.38
9/10/2020,6016.65
8/10/2020,5978.03
7/10/2020,5946.25
6/10/2020,5949.94
5/10/2020,5942.94
2/10/2020,5902.12
1/10/2020,5879.45
30/09/2020,5866.1
29/09/2020,5897.5
28/09/2020,5927.93
25/09/2020,5842.67
24/09/2020,5822.78
23/09/2020,5899.26
22/09/2020,5829.46
21/09/2020,5804.29
18/09/2020,6007.05
17/09/2020,6049.92
16/09/2020,6078.48
15/09/2020,6105.54
14/09/2020,6026.25
11/9/2020,6032.09
10/9/2020,6003.32
9/9/2020,6012.84
8/9/2020,5930.3
7/9/2020,5937.4
4/9/2020,5799.08
3/9/2020,5850.86
2/9/2020,5940.95
1/9/2020,5862.05
28/08/2020,5963.57
27/08/2020,5999.99
26/08/2020,6045.6
25/08/2020,6037.01
24/08/2020,6104.73
21/08/2020,6001.89
20/08/2020,6013.34
19/08/2020,6111.98
18/08/2020,6076.62
17/08/2020,6127.44
14/08/2020,6090.04
13/08/2020,6185.62
12/8/2020,6280.12
11/8/2020,6154.34
10/8/2020,6050.59
7/8/2020,6032.18
6/8/2020,6026.94
5/8/2020,6104.72
4/8/2020,6036
3/8/2020,6032.85
31/07/2020,5897.76
30/07/2020,5989.99
29/07/2020,6131.46
28/07/2020,6129.26
27/07/2020,6104.88
24/07/2020,6123.82
23/07/2020,6211.44
22/07/2020,6207.1
21/07/2020,6269.73
20/07/2020,6261.52
17/07/2020,6290.3
16/07/2020,6250.69
15/07/2020,6292.65
14/07/2020,6179.75
13/07/2020,6176.19
10/7/2020,6095.41
9/7/2020,6049.62
8/7/2020,6156.16
7/7/2020,6189.9
6/7/2020,6285.94
3/7/2020,6157.3
2/7/2020,6240.36
1/7/2020,6157.96
30/06/2020,6169.74
29/06/2020,6225.77
26/06/2020,6159.3
25/06/2020,6147.14
24/06/2020,6123.69
23/06/2020,6320.12
22/06/2020,6244.62
19/06/2020,6292.6
18/06/2020,6224.07
17/06/2020,6253.25
16/06/2020,6242.79
15/06/2020,6064.7
12/6/2020,6105.18
11/6/2020,6076.7
10/6/2020,6329.13
9/6/2020,6335.72
8/6/2020,6472.59
5/6/2020,6484.3
4/6/2020,6341.44
3/6/2020,6382.41
2/6/2020,6220.14
1/6/2020,6166.42
29/05/2020,6076.6
28/05/2020,6218.79
27/05/2020,6144.25
26/05/2020,6067.76
22/05/2020,5993.28
21/05/2020,6015.25
20/05/2020,6067.16
19/05/2020,6002.23
18/05/2020,6048.59
15/05/2020,5799.77
14/05/2020,5741.54
13/05/2020,5904.05
12/5/2020,5994.77
11/5/2020,5939.73
7/5/2020,5935.98
6/5/2020,5853.76
5/5/2020,5849.42
4/5/2020,5753.78
1/5/2020,5763.06
30/04/2020,5901.21
29/04/2020,6115.25
28/04/2020,5958.5
27/04/2020,5846.79
24/04/2020,5752.23
23/04/2020,5826.61
22/04/2020,5770.63
21/04/2020,5641.03
20/04/2020,5812.83
17/04/2020,5786.96
16/04/2020,5628.43
15/04/2020,5597.65
14/04/2020,5791.31
9/4/2020,5842.66
8/4/2020,5677.73
7/4/2020,5704.45
6/4/2020,5582.39
3/4/2020,5415.5
2/4/2020,5480.22
1/4/2020,5454.57
31/03/2020,5671.96
30/03/2020,5563.74
27/03/2020,5510.33
26/03/2020,5815.73
25/03/2020,5688.2
24/03/2020,5446.01
23/03/2020,4993.89
20/03/2020,5190.78
19/03/2020,5151.61
18/03/2020,5080.58
17/03/2020,5294.9
16/03/2020,5151.08
